timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:08:32,5152,80,412,412,5152,0,0,0,5152,432,2225,2225
2024-09-22 13:08:33,5144,56,288,350,5144,8,41,20,5136,496,2584,2404
2024-09-22 13:08:34,5168,64,330,340,5168,0,0,10,5168,352,1819,2111
2024-09-22 13:08:35,5168,56,289,314,5168,0,0,5,5168,344,1819,1965
2024-09-22 13:08:36,5168,56,289,301,5168,0,0,2,5168,352,1860,1912
2024-09-22 13:08:37,5168,56,289,295,5168,0,0,1,5168,360,1860,1886
2024-09-22 13:08:38,5168,48,289,292,5168,0,0,0,5168,360,1860,1873
2024-09-22 13:08:39,5176,40,207,249,5176,0,0,0,5176,328,1739,1806
2024-09-22 13:08:40,5176,32,165,207,5176,0,0,0,5176,328,1697,1751
2024-09-22 13:08:41,5176,32,165,186,5176,0,0,0,5176,328,1697,1724
2024-09-22 13:09:27,5104,272,1388,1388,5112,0,0,0,5112,576,2903,2903
2024-09-22 13:09:28,5152,88,453,920,5152,8,41,20,5152,400,2060,2481
2024-09-22 13:09:29,5160,96,495,707,5160,0,0,10,5160,392,2022,2251
2024-09-22 13:09:30,5152,104,535,621,5152,0,0,5,5160,392,2022,2136
2024-09-22 13:09:31,5152,136,700,660,5152,0,0,2,5152,432,2225,2180
2024-09-22 13:09:32,5152,112,577,618,5160,0,0,1,5160,400,2105,2142
2024-09-22 13:09:33,5152,120,618,618,5152,0,0,0,5152,416,2143,2142
2024-09-22 13:09:34,5056,416,2103,1360,5056,0,0,0,5048,832,4199,3170
2024-09-22 13:09:35,5008,608,3044,2202,5016,0,0,0,5016,912,4574,3872
2024-09-22 13:09:37,5024,560,2813,2507,5032,0,0,0,5032,864,4347,4109
2024-09-22 13:09:38,5008,608,3004,2755,5016,0,0,0,5016,920,4574,4341
2024-09-22 13:09:39,5016,584,2929,2842,5016,0,0,0,5024,904,4581,4461
2024-09-22 13:09:40,5008,600,3004,2923,5016,0,0,0,5024,904,4541,4501
2024-09-22 13:09:41,5000,616,3084,3003,5008,0,0,0,5016,936,4654,4577
2024-09-22 13:09:42,5008,616,3084,3043,5008,0,0,0,5016,928,4654,4615
2024-09-22 13:09:43,5000,624,3120,3081,5008,0,0,0,5016,928,4654,4634
2024-09-22 13:09:44,5008,600,3004,3042,5016,0,0,0,5016,920,4614,4624
2024-09-22 13:09:45,5008,616,3084,3063,5016,0,0,0,5024,920,4622,4623
2024-09-22 13:09:46,5024,584,2934,2998,5024,0,0,0,5024,880,4421,4522
2024-09-22 13:09:47,5008,592,2964,2981,5016,0,0,0,5024,904,4541,4531
2024-09-22 13:09:48,4992,624,3120,3050,5008,0,0,0,5016,944,4735,4633
2024-09-22 13:09:49,5008,592,2969,3009,5016,0,0,0,5016,912,4574,4603
2024-09-22 13:09:50,5008,576,2884,2946,5016,0,0,0,5016,904,4614,4608
2024-09-22 13:09:51,5000,592,2964,2955,5008,0,0,0,5016,920,4614,4611
