2024-09-19 11:26:06 - {'rail': {'POM_5V_CPU': {'volt': 5016, 'curr': 288, 'power': 1444, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1444}, 'POM_5V_GPU': {'volt': 5016, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5024, 'curr': 768, 'power': 3858, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3858, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:07 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 527, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 985}, 'POM_5V_GPU': {'volt': 5072, 'curr': 8, 'power': 40, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 20}}, 'tot': {'volt': 5080, 'curr': 576, 'power': 2926, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3392, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:08 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 756}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 10}}, 'tot': {'volt': 5080, 'curr': 560, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3138, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:09 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 642}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 5}}, 'tot': {'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3011, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:10 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 104, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 585}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2}}, 'tot': {'volt': 5080, 'curr': 560, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2948, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:11 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 487, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 536}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1}}, 'tot': {'volt': 5080, 'curr': 576, 'power': 2926, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2937, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:12 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 104, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 532}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5080, 'curr': 560, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2911, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:13 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 104, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 530}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5080, 'curr': 576, 'power': 2926, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2918, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:14 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 528, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 529}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5080, 'curr': 560, 'power': 2844, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2881, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:15 - {'rail': {'POM_5V_CPU': {'volt': 5072, 'curr': 104, 'power': 527, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 528}, 'POM_5V_GPU': {'volt': 5072, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5072, 'curr': 576, 'power': 2921, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2901, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:16 - {'rail': {'POM_5V_CPU': {'volt': 5080, 'curr': 96, 'power': 487, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 507}, 'POM_5V_GPU': {'volt': 5080, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5080, 'curr': 568, 'power': 2885, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2893, 'name': 'POM_5V_IN'}}
